text,label
카이로정 먹을 때 주의해야 할 거 있어?,0
카이로를 먹을 때 주의해야 할 거 있어?,0
카이로 복용할 때 무엇을 주의해야 해?,0
카이로정 복용할 때 무엇을 주의해야 해?,0
카이로정 복용할 때 뭐를 주의해야 해?,0
카이로 복용할 때 뭐를 주의해야 해?,0
카이로정 먹으려 할 때 무엇을 조심해야 해?,0
카이로 먹으려 할 때 무엇을 조심해야 해?,0
카이로 주의해야 할 점은?,0
트윈스타 조심해야 하는 것은 무엇입니까?,0
트윈스타 주의해야 하는 게 뭐야?,0
트윈스타 주의 해야 할 점이 뭘까요?,0
트윈스타 주의해야 할 것이 무엇일까요?,0
트윈스타 조심?,0
트윈스타 주의?,0
트윈스타 주의점 알려줘,0
트윈스타 주의해야 할 점 알려줄래?,0
트윈스타 주의점 알려줄래?,0
트윈스타 조심해야 할 것 알려줘,0
트윈스타 조심해야 할 점이 뭘까요?,0
아모잘탄 먹으려 할 때 주의해야 할 점 있어?,0
아모잘탄 먹을 때 조심해야 할 점 있어?,0
아모잘탄 먹을 건데 위험한 점 있어?,0
아모잘탄 복용하려 할 때 주의사항이 뭔지 알려줄래?,0
아모잘탄 복용하고 싶은데 주의사항이 뭐야?,0
아모잘탄 복용하고 싶은데 주의사항이 알고 싶어,0
아모잘탄 먹고 싶은데 위험한 점 있을까?,0
아모잘탄 복용하고 싶은데 위험한 점이 있을까?,0
엑스포지의 위험한 점은?,0
엑스포지의 주의사항은?,0
엑스포지의 주의 해야 할 점은?,0
엑스포지정 주의 사항을 좀 알려줄래요?,0
엑스포지정 위험한 점 있어?,0
엑스포지정 위험 사항 있나요?,0
엑스포지정 고려사항 있어?,0
엑스포지정 고려해야 할 것은?,0
엑스포지정 고려해야 할 점 알려줄래?,0
엑스포지 먹을 때 조심해야 할꺼 있을까?,0
엑스포지의 주의사항은 뭘까?,0
로이키 주의점이 무엇이 있나요?,0
로이키 먹을 건데 알려줄 사항 있어?,0
로이키 먹으려 하는데 무엇을 조심해야 할까?,0
로이키 복용 시 주의사항 알려주세요,0
로이키 복용 시 주의해야 할 점을 알려줄래요?,0
로이키 복용 시에 주의할 점이 있을까요?,0
카이로 복용 할 시 조심할 점 좀 알려줄래?,0
카이로 복용할 시 주의점 알려줘,0
카이로 복용할 때 주의할 점 알려주라고!,0
카이로 주의사항 알려주라니까?,0
카이로 주의점 몰라?,0
카이로 주의 사항 모르냐고,0
성인이 타이레놀을 복용해도 되나요?,0
아이가 타이레놀을 복용하여도 괜찮나?,0
타이레놀 복용해도 괜찮으려나?,0
타이레놀 복용해도 괜찮을까요?,0
그날엔 먹을 때 조심해야 할꺼 있을까?,0
그날엔의 주의사항은 뭘까?,0
그날엔 주의점이 무엇이 있나요?,0
그날엔 먹을 건데 알려줄 사항 있어?,0
그날엔 먹으려 하는데 무엇을 조심해야 할까?,0
그날엔 복용 시 주의사항 알려주세요,0
그날엔 복용 시 주의해야 할 점을 알려줄래요?,0
그날엔 복용 시에 주의할 점이 있을까요?,0
그날엔 복용 할 시 조심할 점 좀 알려줄래?,0
그날엔 복용할 시 주의점 알려줘,0
그날엔 복용할 때 주의할 점 알려주라고!,0
그날엔 주의사항 알려주라니까?,0
그날엔 주의점 몰라?,0
그날엔 주의 사항 모르냐고,0
포스펜정 주의 사항을 좀 알려줄래요?,0
포스펜정 위험한 점 있어?,0
포스펜정 위험 사항 있나요?,0
포스펜정 고려사항 있어?,0
포스펜정 고려해야 할 것은?,0
포스펜정 고려해야 할 점 알려줄래?,0
잔타놀정 먹을 때 주의해야 할 거 있어?,0
잔타놀를 먹을 때 주의해야 할 거 있어?,0
잔타놀 복용할 때 무엇을 주의해야 해?,0
