text,label
호리케 주의?,0
홍대 내혈관센터 부탁드립니다,2
메이놀의 사용방법이 어떻게 돼?,5
연남 약국 어디에 있니?,1
F 부작용에 대해서 알려주세요.,3
알파맥스 부작용을 말해주라,3
놀그마 먹으면 어떤 통증이 없어질까?,4
유발하 몇 알 먹어야 해?,5
아세틸살리실산의 부작용이 뭔지 알려줘?,3
구로 디지털 단지에서 탁센스 사고 싶어,1
약국 추천해줘,1
앱시토의 알아야 할 사항은?,0
코발맥의 복용 법에 대해 알고 싶어.,5
약국 알려주라,1
양양 근처 이비인후과 위치 부탁드려요,2
콜롭서 부작용 알려줘,3
트윈스타 주의점 알려줘,0
샌댈리 몇 알 복용해야 해?,5
차을 먹었을 때 생길 수 있는 문제가 어떻게 돼?,3
슈니첼 무슨 능력이 있어?,4
지엘디에노게스트 먹었을 때 생길 수 있는 문제에 대해 설명해줘.,3
이부프로펜 먹기 전에 고려해야 할 사항이 있을까?,0
트윈스타 주의?,0
알파파워의 복용 효과가 어떻게 돼?,4
충정로 약국 부탁드립니다,1
마이티 복용할 때 주의해야 할 사항이 뭐야?,0
동작구 상도동 주변 산부인과 알려줘,2
마그온맥 뭐를 고려해야 할까?,0
주변에서 약 살 수 있는 곳 알려줘,1
서대문 약국 알려줘,1
리브스 위험 사항 있나요?,0
아세트아미노펜의 부작용 알려줄래?,3
노스페 주의해야 할 점 알려줄래?,0
화인백 어떨 때 복용하는 것인지 알려줄래?,4
아세리손 효과가 어떻게 돼?,4
로이키 먹을 건데 알려줄 사항 있어?,0
홍대 약국 위치 알려주세요,1
사당에서  약품 어디서 사냐고 물었다.,1
벨라비엠 사용 방법이 어떻게 돼?,5
하라리 얼마나 복용해야 하나요?,5
벨라비엠 사용 방법에 대해 설명해줘.,5
홍익대학교 주변 약국 추천해줘,1
주변 외과 알려주라,2
씨이엔브이 고려하면 좋을 점은 어떻게돼?,0
페낙손정 먹었을 때 생길 수 있는 문제가 뭐야?,3
타세놀정 부작용이 어떻게 돼?,3
명동에 근처 약 살 수 있는 곳 어디야,1
트리베라 몇 알 먹는건지?,5
잔타놀의 주의사항은?,0
홍대 근처 약국 추천해줘,1
콘디에스을 어떻게 먹는 건지 알려줘.,5
알프람은 어떨 때 먹어도 되는거야?,4
망원시장 주변 약국 알려줘,1
비자니 먹을 때 주의해야 할 점이 어떻게돼?,0
마그온맥 고려해야 할 사항이 뭐야?,0
마그놀정 효능 좀 알려줄래?,4
코발맥 복용 법에 대해 알고 싶어.,5
락토그린을 언제 복용하는지 알려줘.,4
제일 가까운 약국 알려줘,1
진텍 먹을 때 미리 알아야 할 것이 어떻게돼?,0
타미플루 부작용이 어떻게 돼?,3
알진텍정 먹었을 때 생길 수 있는 문제가 어떻게 돼?,3
마포구 약국 추천해줘,1
데일리원정 어떻게 먹는거야?,5
유발하 몇 알 복용해야 해?,5
자렐리반 먹는 방법이 뭐야?,5
알프 어떨 때 먹어도 되는거야?,4
홍대입구 근처 약국 알려줘,1
아탄트 어떻게 사용하는지 대해 알고 싶어.,5
타세놀은 어디가 아플 때 먹는 것인지 알려줘.,4
호리케 조심해야 할 것 알려줘,0
아나파치을 어떻게 먹어야 하는지 알려줘.,5
제일 가까운 약국 알려줘,1
최단거리 치과 알려줘,2
아탄트 얼마만큼 먹는 건지 알려줘.,5
을지로 주변에 내과 알려줘,2
나와 제일 가까운 약국 알려줘,1
마포구 응급실 알려줄래?,2
카이세비 조심해야 할 것 알려줘,0
근처 한의원 위치 알려줘,2
알진텍 복용 효과에 대해 알려줘.,4
마그 뭐를 주의해야 할까?,0
로이키 주의점이 무엇이 있나요?,0
약국이 어디에 있는지 알고 싶어요,1
슈타린정 복용 시 효과 뭐야?,4
화인백 어떨 때 복용하는 것인지 알려줄래?,4
코디콜캡슐 부작용 알고 싶어요,3
삼각지 흉부외과 어디쯤 있어?,2
g 부작용에 대해서 알려주라.,3
크레넷을 몇 알 먹어야 하는지 설명해줘.,5
D 부작용은 어떤 것이 있을까?,3
마그놀정 복용할 때 알면 좋은 효능 알려줘,4
씨이엔브이 먹을 때 뭐를 주의해야헤?,0
여의도 근처 산부인과 알려줘,2
미아역이랑 가까운 안과 알려주라,2
조인엔콘드 복용할 때 고려해야 할 점이 어떻게돼?,0
이지엔 부작용이 어떻게 돼?,3
알진 복용할 때 어떤 점을 주의해야 할까?,0
동대문구 청량리동 병원 어디 있니?,2
내 주변 약국 어디있는지 알려줘,1
테네글로 복용법이 뭐야?,5
알파맥스 복용하면 생기는 안 좋은 점을 말해주세요,3
제일 가까운 국군 병원 알려줘,2
잔타놀 복용할 때 무엇을 주의해야 해?,0
코디칼리 먹으려 하는데 부작용 있어?,3
에어페오 효과에 대해서 알려줘.,4
홍대입구 주변 약국 알고 싶어,1
트로멜 어떻게 먹어?,5
미자이센 어떤 효능이 있는지 알려줄래?,4
오르리스타트의 부작용에 대해 설명해줄래?,3
가로수길 아타칸 살 수 있는 곳 알려줄래?,1
낙손정 먹었을 때 생길 수 있는 문제가 어떻게 돼?,3
비자니정 효과는 무엇인가요?,4
내 주변 안과 알려줘,2
근처 난임센터 위치 알려줘,2
약국이 알고 싶다,1
듀카브플러스정 부작용 알려줘,3
에페신에이스 먹었을 때 생길 수 있는 문제를 알려줘.,3
이부브롬에는 어떤 효과가 있을까,4
알진 먹기 전에 알아야 할 점이 있을까?,0
주변 뇌혈관 센터 위치 부탁드립니다,2
약국 위치 알려저,1
벨록스 효능에 대해서 알려줘.,4
로타 언제 먹어야 하는지 알려줄래?,4
슈타린정은 어디에 좋을까요?,4
트로멜 얼마만큼 먹는거야?,5
창동 치과 추천해줘,2
놀그마 어떤 효능이 있는지 알려줄래?,4
소화기센터가 알고 싶다,2
트로멜 어떻게 사용해야야 하는지 알려줘.,5
속초중앙시장 근처 약국 추천해줘,1
텔미로젯 효과에 대해 알고 싶어.,4
누보로젯의 복용 방법에 대해서 알려줘.,5
홍대입구 주변 치과 알고 싶어,2
응급실 알려줘,2
로피롤에이은 언제 아플 때 먹어야 좋아?,4
리브스 고려사항 있어?,0
바이타믹스 먹을 때 주의해야 할 거 있어?,0
국립현대미술관 주변 성형외과 알 수 있을까?,2
약국이 어디에 있는지 알고 싶어요,1
천안 부근 정신건강의학과 알려주세요,2
길음뉴타운 신경과 알려주세요,2
타미플루 부작용이 어떻게 되는지 알려줘,3
테네글로의 사용방법에 대해 알고 싶어.,5
알진 먹을 때 알아야 할 점이 있을끼?,0
로타 언제 먹어야 하는 것인가요?,4
비디엠 먹었을 때 생길 수 있는 문제는 어떤 것이 있을까?,3
g 부작용에 대해서 알려주라.,3
케라민활 복용 시에 효능 좀 알려주래?,4
에어페낙듀오가 가진 주의사항이 어떻게돼?,0
아나파치을 먹는 방법에 대해 알고 싶어.,5
포스펜정은 언제마다 얼마나 복용해야 하는지 말해줘,5
소아과 알고 싶다,2
소화기센터 알려주라,2
락토폴 복용 효능이 궁금해.,4
알진텍정 먹었을 때 생길 수 있는 문제에 대해 알고 싶어.,3
최단거리 약국 알고 싶어.,1
알진 먹을 때 어떤 점을 주의해야 할까?,0
트로멜 어떻게 복용해?.,5
마이티신 복용할 때 주의해야 할 것이 어떻게돼?,0
메이놀의 사용방법이 궁금해.,5
잔타놀정 조심?,0
아스피린 부작용 알려줘,3
약국 알려주라,1
씨이엔브이 효능을 알려줘.,4
슈타린정 효과를 좀 알 수 있을까?,4
마이티 복용할 때 주의해야 할 것이 뭐야?,0
누보로젯의 복용법이 궁금해.,5
케라민활 먹으면 무슨 효과 있어?,4
사당 근처에서 약품 사려면 어디로 가야해?,1
엠베쎄를 몇 알 먹어어.,5
카이로 주의점 몰라?,0
주변 정신건 강의학과 위치 부탁드립니다,2
캘빈클의 주의사항은?,0
콜롭서 먹으면 생기는 안 좋은 점이 뭘까?,3
지베즈의 복용 법이 어떻게 돼?,5
제이코정 얼마나 먹어야 해?,5
제이코정 어떻게 먹는거야?,5
벨라비엠 복용 방법이 궁금해. ,5
알진 복용 시 무엇을 알아야 하지?,0
메이놀 복용법에 대해 설명해줘.,5
주변 정신건 강의학과 위치 알려줘,2
잔타놀를 먹을 때 주의해야 할 거 있어?,0
이부프로펜 어디가 아플 때 복용해야하는지 알려줘,4
놀그마 효과 알고 싶어,4
제이코정 복용하는 법 알고 싶어,5
락토그린은 어디가 아플 때 복용해야해?,4
내 주변 응급실 어디에 있어?,2
트윈스타 주의 해야 할 점이 뭘까요?,0
스트렙실의 부작용이 어떻게 돼?,3
이부프로펜 먹기 전에 주의해야 할 점이 있을까?,0
홍대 치과 부탁드립니다,2
락토그린 어디가 아플 때 복용해야해?,4
알진 복용할 때 미리 알아야 할 것이 있을까?,0
속초중앙시장 근처 약국 알려줘,1
D 부작용은 어떤 것이 있을까?,3
마포구 약국 알려줘,1
서대문 쪽 약국 알려줘,1
베네딕트 복용법 알려줄래?,5
제일 가까운 약국 알려줘,1
북한 소아과 알려주세요,2
뉴셀디의 복용 효능은 무엇인가요?,4
한강공원 근처 약국 알려줘,1
강남역 동교동 주변 약국 알려줘,1
씨이엔브이 복용 효과을 알려줘.,4
씨이엔 복용할 때 뭐를 고려해야헤?,0
트로멜 어떻게 먹어야 하는지 알려줘.,5
콜대원 부작용에 대해 설명해줘.,3
케라민캡슐 효능을 말해줘,4
비디엠 어떨 때 복용 하는거야?,4
연대 흉부외과 부탁드립니다,2
페낙손의 복용법에 대해 알고 싶어.,5
조니포 먹는 방법 말해줘,5
미자이센은 어느 통증에 좋아?,4
김포 현대아울렛 근처 안과는 어디에 있니?,2
캘빈클 고려사항 있어?,0
주변 산부인과 위치 알려줘,2
트로멜 얼만큼 사용해야 하는지 설명해줘.,5
바이타믹스을 먹을 때 주의해야 할 거 있어?,0
비자니 주의할 점이 어떻게돼?,0
이지엔 부작용이 어떻게 돼?,3
노바스크 복용하고 싶은데 위험한 점이 있을까?,0
비자니정 복용할 때 뭐를 알아야해?,0
잔타놀정 복용할 때 뭐를 주의해야 해?,0
호리스브 먹을 때 조심해야 할꺼 있을까?,0
탑큐텐 먹을 때 주의해야 할 거 있어?,0
비자니 복용할 때 고려해야 할 점이 있어?,0
주변 산부인과 알려주라,2
노스페 주의 해야 할 점이 뭘까요?,0
에어페낙듀 복용할 때 뭐를 주의해야 할까?,0
제일 가까운 약국 알고 싶어,1
국회의사당에서 제일 가까운 약국 알려줘.,1
근처 난임 센터 알려줘,2
상수역에서 제일 가까운 병리과 알려줘,2
뉴셀디의 효능은 무엇인가요?,4
마포구 동교동에 있는 약국 알려줘,1
응급실 추천해줘,2
피맛골과 가까운 한방병원 알려주라,2
홍인사정 부작용 알려주라,3
한림디스트 먹었을 때 생길 수 있는 문제에 대해 설명해줄래?,3
마그랑비 효과에 대해 설명해줄래?,4
안국역 이비인후과 알고 싶어,2
메이놀 복용법이 어떻게 돼?,5
근처 약국 위치 알려주세요,1
신세계백화점 어디서 코자 살 수 있어?,1
바이타믹스 복용할 때 주의할 점 알려주라고!,0
근처 재활 센터 알려줘,2
약국 위치 알고 싶습니다,1
내 주변 약국 어디에 있어?,1
63빌딩 주변 안과 알려주세요,2
베네딕트 복용방법 알려줘,5
비자니정의 효과는 무엇인가요?,4
씨이엔브이 주의하면 좋을 점은 어떻게돼?,0
슈니첼 복용할 때 알면 좋은 효능 알려줘,4
홍대 근처 약국이 어디 있어?,1
주변 피부과 알려주라,2
가정의학과가 알고 싶다,2
벨록스 복용 효과에 대해서 설명해줄래?,4
마그놀정 복용 시 효과 뭐야?,4
내 주변 안과 어디에 있어?,2
에어페오의 주의해야 하는 점이 어떻게돼?,0
이가탄의 부작용에 대해 설명해줘.,3
코디칼리 복용 시 발생하는 부작용은?,3
소화기센터 추천해줘,2
로타인을 언제 먹는건지 알고 싶어.,4
핫세마 복용 방법 말해주세요,5
호리케 주의해야 할 점 알려줄래?,0
주변 건강검진병원 알려주라,2
가정의학과가 어디에 있는지 알고 싶어요,2
트로멜 어떻게 복용해야 하는지 설명해줘.,5
타이레놀 몇 알 먹어야 하는지 설명해줘.,5
내 주변 안과 어디있는지 알려줘,2
탁센 부작용이 어떻게 돼?,3
바이타믹스 복용하려 할 때 주의사항이 뭔지 알려줄래?,0
국방부 주변 치과 알려주세요,2
코발맥의 복용 법에 대해서 알려줘.,5
병원이 어디에 있는지 알고 싶어요,2
입랜스을 몇 알 먹어야 하는지 알려줘.,5
마이 먹을 시 고려사항은?,0
마이클 복용법 알려줄래?,5
그놀마잉 효과를 말해주세요,4
로타 언제 먹는건지 알려줘.,4
북서울꿈의숲 신경과 알려주세요,2
로타인은 언제 먹는건지 알려줘.,4
내 주변 약국 알려줘,1
진텍 복용할 때 고려해야 할 점이 어떻게돼?,0
알진 복용 시 무엇을 알아야 하지?,0
알진 복용하기 전에 알아야 할 사항이 있을까?,0
알진 복용할 때 알아야 할 점이 있을끼?,0
상수역 약국이 알고 싶어,1
동대문역사공원 심장센터 위치 알려주세요,2
제일 가까운 심장내과 알려줘,2
코발맥 복용 법에 대해서 알려줘.,5
제일 가까운 약국 추천해줘,1
알파파워의 복용 효과가 어떻게 돼?,4
메이놀 복용법이 궁금해.,5
화이투벤 먹을려고 하는데 효능 좀 알려줘,4
화인백은 언제 복용하는거야?,4
마그놀정 복용 시에 효능이 뭐야?,4
벨록스 복용 효능이 어떻게 돼? ,4
원펜 복용 방법에 대해서 알려줘.,5
미자이센 효능효과 알고 싶어,4
제일 가까운 병원 추천해줘,2
주변 약국 알려줘,1
씨이엔브이 복용 효과에 대해서 알려줘.,4
남대문 근처 안과 위치 알려주세요,2
가까운 약국 추천해줘.,1
코발맥 복용 법에 대해 알고 싶어.,5
텔미로젯의 효과에 대해 알고 싶어.,4
스트렙실의 부작용이 어떻게 되는지 알려줘,3
엑스키비티 먹었을 때 어떤  문제가 발생할까?,3
홍대 약국 부탁드립니다,1
놀그마 효능효과 알고 싶어,4
제일 가까운 약국 위치 알려줘,1
에어페낙듀오가 가진 주의사항이 어떻게돼?,0
포펜을 어떻게 먹는건지 궁금해.,5
주변 한의원 위치 알려주라,2
신세계백화점에서 코자 어디서 사냐고 물었다.,1
트윈스타 주의해야 할 점 알려줄래?,0
잔타놀정 주의 해야 할 점이 뭘까요?,0
나와 제일 가까운 재활센터 위치 알려줘,2
페노제티브정 부작용이 궁금해,3
뉴셀디의 복용 방법을 알려줘?,5
동대문구 창신동 소아과 알려주라,2
홍은동 가장 가까운 약국 알려줘,1
봉은사로  근처 가정의학과 알려줘,2
마그온맥 주의 사항이 뭐야?,0
혜화동 안과 알고 싶어,2
제일 가까운 국군 병원 위치 알려줘,2
미자이센 효과 알고 싶어,4
코펜콜 부작용을 말해주라,3
엑스포지정 위험한 점 있어?,0
로이키 복용 시 주의사항 알려주세요,0
비자니 어디가 아플 때 복용하는 것인지 알려줘.,4
김포 근처에서 약 사려면 어디로 가야해?,1
롯데타워 약국 알려주세요,1
니바스 먹으려 하는데 무엇을 조심해야 할까?,0
근처 약국 위치 알려줘,1
데일리원정 먹는 법 알고 싶어,5
삼선교 근처 디오메 살 수 있는 곳 어디야,1
릴리호정 한 번에 몇 알 먹는걸까요?,5
마그 주의해야 할 사항이 어떻게돼?,0
바이타믹스 먹을 건데 위험한 점 있어?,0
포천 부근 약국 알려줄래?,1
니바스 복용 시 주의해야 할 점을 알려줄래요?,0
진텍 복용할 때 알아야 할 점이 어떻게돼?,0
정릉 주변의 가정의학과 추천해줘,2
성남시 서현동에 있는 치과 알려줘,2
바이타믹스 먹으려 할 때 무엇을 조심해야 해?,0
서큐실산정 부작용이 뭐야?,3
슈타린정은 무슨 효과가 있어?,4
엑스포지정 주의 사항을 좀 알려줄래요?,0
미아사거리 주변 병원 알려줘,2
마그 뭐를 고려해야 할까?,0
비자니정 먹을 때 뭐를 주의해야해?,0
핫세마 몇 알 복용해야 할까요?,5
여의도 주변의 약국 알려줘,1
김포 현대아울렛 근처 안과는 어디 있어?,2
핫세마 복용법 말해줘,5
마그놀정은 어느 부분에 좋을까?,4
마이티신 효능이 어떻게 돼?,4
씨이엔브이 복용 효과가 어떻게 돼?,4
조인엔콘드 효과에 대해 설명해줄래?,4
바의 부작용이 뭐야?,3
홍대 관절병원 알려주세요,2
소치오 복용할 건데 부작용이 뭘까요?,3
원펜의 사용 방법에 대해 알고 싶어.,5
마이티신 복용할 때 고려해야 할 것이 어떻게돼?,0
피그먼 안 좋은 점 알고 싶어요,3
트로멜 어떻게 복용하는거야.,5
원펜 사용 방법에 대해서 알려줘.,5
서대문 약국이 알고 싶어,1
내 주변 약국 어디있는지 알려줘,1
슈타린정 효능 좀 알려줄래?,4
에어페오의 주의해야 하는 점이 어떻게돼?,0
명동에 약 살 수 있는 곳 알려줄래?,1
비자니 먹을 때 고려해야 할 점이 있어?,0
벨록스 먹을 때 주의사항이 어떻게돼?,0
카나브의 위험한 점은?,0
나와 제일 가까운 소아과 위치 알려줘,2
아탄트를 어떻게 복용하는거야?,5
강남 세브란스 약 어디서 사냐고 물었다.,1
강남 세브란스 약 어디서 사?,1
알진 복용할 때 어떤 점을 알아야 할까?,0
이부프로펜 부작용에 대해 알고 싶어.,3
롯데타워 근처 약국 위치 알려주세요,1
내 주변 정신건강 의학과 알려줘,2
테네글로 복용법이 뭐야?,5
헌법재판소 한의원,2
구로 디지털 단지 근처 탁센스 살 수 있는 곳 어디야,1
가정의학과과 알려줘,2
벨라비엠 복용 방법이 궁금해. ,5
마그놀정 복용 시에 효능 좀 알려주래?,4
북한 응급실 알려주세요,2
락토폴 효능에 대해서 설명해줄래?,4
소치오 먹으려 하는데 부작용 있어?,3
알진 먹을 때 미리 알아야 할 것이 있을까?,0
플랜에이 먹는 방법이 어떻게 돼?,5
이부프로펜 먹기 전에 고려해야 할 점이 어떻게돼?,0
마포구 와우산로 근처 약국 알려줘,1
원펜 사용 방법이 뭐야?,5
텔미로젯 효과에 대해 알고 싶어.,4
주변 약국 위치 알려줘,1
입랜스을 몇 알 먹어야 하는지 알려줘.,5
알파맥스 부작용 좀 알려주라,3
에스리시 몇 알 먹어야 하는지 설명해줘.,5
아탄트 어떻게 먹는거야?,5
화랑대입구 주변 약국 알고 싶어,1
로타인은 언제 먹어야 좋은가요?,4
시흥 근처 약국 좀 알려주세요,1
릴리호정 복용법 알고 싶어요,5
캘빈클의 위험한 점은?,0
응급실 위치 알려저,2
아탄트 어떻게 복용하는지 대해 알고 싶어.,5
쿠스정 먹을 건데 얼만큼 복용해야 해?,5
페낙손의 복용법에 대해 알려줘.,5
마이티신 어떨 때 복용하는 것인지 알려줘,4
벨라비엠 복용 방법이 어떻게 돼?,5
근처 약국 알려줘,1
대구 근처 소아청소년과 병원 알고 싶어,2
코발맥의 복용 법이 뭐야?,5
병원 알고 싶다,2
월드컵 경기장 부근 응급의학과 알려줄래?,2
그날엔 먹으려 하는데 무엇을 조심해야 할까?,0
가로수길 근처에서 아타칸 사려면 어디로 가야해?,1
자렐리반 먹는 방법이 뭐야?,5
탑큐텐 복용할 때 무엇을 주의해야 해?,0
탑큐텐 먹으려 할 때 무엇을 조심해야 해?,0
프렉체리놀을 먹을 때 무슨 문제가 생길 수 있을까?,3
약국 위치 알고 싶습니다,1
진텍 먹을 시 무엇을 주의해야 하지?,0
벨라비엠의 사용 방법이 어떻게 돼?,5
알파파워의 복용 효과에 대해 알고 싶어.,4
명동에 약 어디서 사냐고 물었다.,1
그날엔 주의점이 무엇이 있나요?,0
홍익대학교에서 가장 가까운 치과 알려줘,2
뉴셀디 효능을 알려줘.,4
D 부작용은 어떤 것이 있을까?,3
이부프로펜 부작용이 어떻게 돼?,3
가의 부작용에 대해 알려줘.,3
아이파크몰 치과 알려주세요,2
마이클 몇 알 복용해야 해?,5
가까운 비뇨기과 알려줘 ,2
비자니 먹을 때 고려해야 할 사항이 있어?,0
알파파워의 복용 효과를 설명해줘.,4
이부브롬 효과에 대해 알고 싶어.,4
스타필드 근처 약국 알고 싶어,1
아탄트 어떻게 먹는 건지 알려줘.,5
피그먼 먹을 건데 부작용이 생길까?,3
이부프로펜 부작용은 무엇인가요?,3
화인백 복용 효능에 대해서 설명해줘.,4
조인엔콘드 복용할 때 고려해야 할 점이 어떻게돼?,0
카나브의 주의사항은?,0
약국 위치 알려저,1
로타인은 언제 먹어야 좋나요?,4
양양 정형외과 부탁드립니다,2
강남 세브란스 약 사고 싶어,1
용산구 이촌동 산부인과 알려줘,2
명동에 어디서 약 살 수 있어?,1
벨록스 먹을 때 고려사항이 어떻게돼?,0
포펜을 어떻게 먹는거야?,5
트로멜 어떻게 복용하는거야.,5
강릉앞바다 주변의 약국 알려줘,1
홍대입구역 근처 약국 추천해줘,1
벨록스 효능이 궁금해.,4
근처 약국 알려줘,1
영양제의 어떤 부작용이 있을까?,3
내과,2
트로멜 어떻게 먹는건지 알려줘.,5
포천 가까운 약국 알려줘,1
시흥 근처 약국이 어디에 있니?,1
약 어디서 살 수 있니?,1
마그 먹을 때 주의해야 할 것이 있을까?,0
입랜스를 몇 알 먹는건지에 대해 알고 싶어.,5
와리맂 복용하면 좋지 못한 점은?,3
수원화성 감염내과 어디에 있니?,2
와리맂 복용하면 좋지 않은 점 알려줘,3
아탄트 얼만큼 먹는 건지 알려줘.,5
